Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Brunei,7.59,7.52,7.45,7.38,7.31,7.24,7.17,7.10,7.03,6.96,6.89,6.82,7.46,7.12,7.34,7.02,7.57,7.02,6.85,7.18,6.27,7.20,7.60,7.77,8.01,7.73,7.67,7.17,7.41,7.81,7.45
Indonesia,26.86,26.68,26.50,26.32,26.14,25.97,25.79,25.61,25.43,25.25,25.07,24.32,24.35,23.16,23.99,23.63,24.53,23.71,23.81,22.44,20.22,17.61,19.22,19.77,18.20,18.30,18.79,16.67,18.10,19.05,17.48
Cambodia,27.93,27.94,27.95,27.96,27.97,27.99,28.00,28.01,28.02,28.03,28.04,26.96,27.71,27.37,28.85,28.47,28.66,28.90,28.62,26.78,23.98,20.84,22.19,24.93,21.27,20.85,21.64,19.97,22.16,22.07,23.26
Laos,27.46,27.41,27.36,27.31,27.26,27.22,27.17,27.12,27.07,27.02,26.97,26.57,27.15,25.50,27.59,27.56,26.58,27.99,26.40,25.74,23.26,19.69,21.54,23.16,20.51,19.27,21.41,18.21,19.92,21.30,21.19
Myanmar,37.42,37.46,37.49,37.53,37.57,37.61,37.64,37.68,37.72,37.75,37.79,38.71,39.63,38.59,40.47,40.08,39.98,41.31,39.97,40.04,33.97,29.18,32.86,34.88,30.98,29.68,30.90,27.89,31.25,31.85,31.95
Malaysia,28.21,27.61,27.01,26.42,25.82,25.22,24.62,24.02,23.43,22.83,22.23,21.05,22.00,20.98,21.90,21.97,23.98,21.84,21.29,21.10,17.14,16.18,17.51,18.35,16.77,16.61,16.01,14.62,16.31,17.44,15.88
Philippines,29.97,29.94,29.90,29.87,29.84,29.81,29.77,29.74,29.71,29.67,29.64,26.39,27.10,27.78,28.70,28.57,28.86,28.19,27.90,26.56,22.23,19.60,21.09,22.04,19.73,19.18,19.24,17.77,19.91,20.84,19.64
Singapore,36.51,34.95,33.39,31.83,30.27,28.71,27.16,25.60,24.04,22.48,20.92,19.81,19.18,17.05,17.11,17.65,20.15,17.92,17.36,17.24,14.93,15.92,17.63,18.90,17.53,17.59,16.33,16.27,16.36,17.48,14.11
Thailand,40.12,39.95,39.77,39.59,39.42,39.25,39.07,38.90,38.72,38.55,38.37,37.51,38.92,37.24,39.51,38.99,38.57,40.40,39.14,37.51,32.75,28.47,30.95,33.82,29.43,27.65,29.85,26.62,29.46,29.83,30.46
Timor-Leste,18.82,18.88,18.94,19.00,19.05,19.11,19.17,19.23,19.28,19.34,19.40,19.72,20.27,19.31,20.82,19.33,19.85,20.49,20.21,19.72,16.68,15.34,16.54,16.58,15.85,14.84,15.34,14.05,15.88,16.77,16.5
Vietnam,25.74,25.74,25.73,25.73,25.72,25.72,25.72,25.71,25.71,25.70,25.70,24.82,25.56,24.82,26.35,26.28,26.32,26.98,26.86,24.74,22.41,19.94,20.92,22.61,19.87,18.88,19.77,18.09,19.62,20.21,20.21
