Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Brunei,25.4378,25.1325,25.5060,25.7937,25.2061,25.4060,25.3554,25.6519,25.8710,25.9973,25.9153,25.9019,25.8877,26.1887,25.5634,25.7284,25.7690,26.1697,26.0633,25.8273,26.1863,26.0662,25.9897,25.9503,26.1723,26.1933,26.0218,26.2550,26.7576,26.1119,26.2479,26.2985,26.4442,26.3137,26.2065,26.3054,26.2316,26.2279,26.0754,26.5484,26.5453,26.3253,26.4393,26.5271,26.3073,26.6047,27.0142,26.6827,26.7560,26.9949,26.8709,26.6149,26.4792,27.0125
Indonesia,24.2430,23.9019,24.2914,24.4593,24.1375,24.1571,24.2009,24.3934,24.5166,24.6067,24.6806,24.6140,24.6043,24.8852,24.3702,24.4477,24.5354,24.8520,24.8150,24.5259,24.7022,24.6149,24.5809,24.7206,24.7259,24.8323,24.8411,25.0308,25.4498,24.7973,24.8316,24.9326,25.0872,25.0522,25.0500,25.1247,25.0994,25.1043,24.9289,25.2981,25.4247,25.1034,25.1744,25.2926,25.3497,25.4581,25.7707,25.4347,25.4382,25.5684,25.6642,25.4799,25.4250,25.7336
Cambodia,26.6794,25.8525,26.4511,26.7391,26.2455,26.1768,26.1736,26.8162,26.7910,27.1586,27.1143,26.8498,26.6431,27.0868,26.7206,26.7344,26.6745,27.3058,27.0758,26.8961,27.2581,27.2500,27.0196,26.6463,26.9426,27.1539,26.8617,27.1947,28.0133,26.5413,26.9893,27.4072,27.7878,27.5820,27.4816,27.4431,27.5021,27.2099,26.9482,27.0386,27.9841,27.2028,27.8816,27.5750,27.5528,28.0933,28.1198,27.5845,27.7486,28.1013,27.7318,27.3056,27.3158,27.7408
Laos,22.6002,21.7725,22.3833,22.7656,22.0866,22.1375,21.9848,22.1233,22.3812,22.8415,22.9545,22.6396,22.5593,22.6323,22.4921,22.5022,22.4883,22.9625,22.8828,22.6215,22.8165,23.0882,22.5069,22.4965,22.7769,22.7094,22.5055,22.8404,23.6832,22.6760,22.7017,23.0166,23.0845,23.1522,22.7216,23.1139,23.2469,23.0720,22.4233,23.1372,23.6287,22.4435,23.5697,23.1417,23.2464,23.6958,23.6535,23.4623,23.3121,24.1838,23.8130,23.4447,23.3670,23.9433
Myanmar,23.0007,22.4876,23.0915,23.1181,22.6882,22.8415,22.6296,22.8414,23.0005,23.5826,23.5067,23.1691,22.9355,22.9488,23.0049,22.9656,23.2367,23.4351,23.5267,23.0548,23.1425,23.4024,22.8075,23.1837,23.4884,23.6724,23.4291,23.1427,24.1764,23.7647,23.2190,23.5049,23.5210,23.5770,23.3455,23.9782,23.5736,23.3582,23.4268,23.9679,24.2335,23.3746,23.8205,23.7701,23.9721,23.7952,24.0304,23.8698,23.5740,24.1302,24.1340,24.2504,23.9856,23.9856
Malaysia,24.6615,24.3367,24.7223,24.9251,24.4793,24.5509,24.5805,24.8393,25.0500,25.1333,25.0839,25.0716,25.0246,25.4094,24.6384,24.8388,24.9293,25.2871,25.1708,24.9174,25.2804,25.1295,25.1003,25.0562,25.1778,25.2315,25.1320,25.3257,26.0156,25.1551,25.2858,25.3615,25.6293,25.5116,25.5354,25.6900,25.4316,25.4137,25.2193,25.5906,25.7955,25.4238,25.4966,25.6522,25.6132,25.8427,26.2916,25.8063,25.8580,26.1546,26.0262,25.7304,25.6446,26.0925
Philippines,25.5187,25.0104,25.1821,25.6627,25.1774,25.2606,25.0788,25.4194,25.5306,25.5456,25.4994,25.4102,25.2938,25.7014,25.3162,25.3967,25.4435,25.8484,25.9161,25.5074,25.7602,25.6717,25.6203,25.6369,25.6538,25.5393,25.4056,25.4353,26.2674,25.4543,25.5745,25.7669,25.8821,25.7936,25.8534,25.9571,26.0779,26.0670,25.8120,25.9366,26.2885,25.7919,26.0188,26.1066,25.9405,26.1541,26.5162,26.1320,26.2541,26.3665,26.4539,26.2504,26.2204,26.4437
Singapore,24.8352,24.7561,24.8983,25.0234,25.1392,25.2345,25.3721,25.4353,25.5356,25.6378,25.7413,25.8247,25.9542,25.7014,25.3162,25.3967,25.4435,25.8484,25.9161,26.0069,26.2646,26.3213,25.9539,25.9047,26.1027,26.0731,26.2015,26.3104,26.4569,26.5594,26.6821,26.7349,26.8920,27.0151,27.1524,27.2149,27.3333,27.4705,27.5892,27.6981,27.7834,27.9152,28.0315,28.1373,28.2240,28.3602,28.4435,28.5619,28.6248,28.6834,28.7596,28.8234,28.9353,29.0312
Thailand,25.7246,25.0026,25.6771,25.7883,25.2859,25.3884,25.2671,25.7143,25.8977,26.2106,26.2142,25.7843,25.7583,26.1034,25.7087,25.7912,25.7506,26.2682,26.0933,26.0069,26.2646,26.3213,25.9539,25.9047,26.1027,26.1643,25.8352,26.3250,27.0568,25.8043,25.9126,26.2620,26.4593,26.3371,26.6005,26.4615,26.3608,25.8718,26.2444,26.9274,25.7406,26.6476,26.3620,26.4047,26.8049,26.8049,26.9499,26.5008,26.4505,27.0996,27.0049,26.4647,26.3701,27.0409
Timor-Leste,24.2713,23.8748,23.8580,24.3975,23.8207,23.9381,23.8159,23.8303,23.8303,24.1571,24.5446,24.3737,24.4007,23.8930,24.4156,24.2591,24.2993,24.3226,24.3635,24.6571,24.5176,24.4445,24.1270,24.3995,24.3765,24.1416,24.1580,24.3168,23.9969,24.9010,24.0213,24.2559,24.4253,24.5205,24.3550,24.7498,24.0765,24.4227,24.4074,24.5720,24.8595,24.2172,24.2577,24.6323,24.4693,24.4430,25.3486,24.8250,24.8471,24.6422,25.0680,24.9391,24.7948,24.6969
Vietnam,23.3191,22.7093,23.3026,23.7153,23.0800,23.0508,22.8525,23.0883,23.2912,23.5731,23.6336,23.5635,23.4067,23.3747,23.1022,23.1712,23.3004,24.0004,23.5286,23.2875,23.2875,23.8148,23.3950,23.4151,23.6702,23.4560,23.2690,23.7000,24.4748,23.5459,23.5471,23.7681,24.0564,24.0945,23.6560,23.7699,23.9832,23.8112,23.2729,23.9110,24.3650,23.1500,24.0489,23.9160,23.9934,24.5508,24.5200,24.2030,24.2410,24.8152,24.4129,24.1169,23.9720,24.5144
