,Brunei,Cambodia,Indonesia,Laos,Malaysia,Myanmar,Philippines,Singapore,Thailand,Timor-Leste,Vietnam
Energy,8.2,6.9,9.8,8.3,12.1,10.3,9.8,26.2,15.4,1,6.3
Residential,10.7,27.9,33.1,19.9,14.2,30.6,16.1,12.3,14.7,8.9,37
Industry,4.9,5.7,9.5,11.1,4.9,10.4,17.1,5,20.2,2,9.5
Transport,13.1,5.5,12.4,6.6,16.9,5.4,5.7,18.5,9.1,9.4,6.2
Waste,3.4,5.4,3.2,5.8,5.8,4,5.5,5.9,6,1.3,8.1
Agriculture,2.9,1.3,6.6,4.9,3.3,3.6,3.4,4.2,2.7,2.2,4.3
Agr. Waste Burning,0.6,1.3,0.2,1,0.5,1.2,0.4,0.1,1.6,0.2,1
Other Fires,4,22.2,4,13.4,4,9.1,1.4,2.6,5.9,21.1,3.2
Windblown Dust,1,2.6,2.4,4.9,0.9,4.7,1.4,0.4,3.2,15.7,2.8
Shipping,2.7,0.9,1,0.7,2.6,0.8,2.2,3.1,0.9,1.4,1
Anthropogenic dust,11.9,10,4.7,13.1,16.8,9.2,13.6,7.1,11.3,2.2,10.2
Commercial,1,1.1,0.4,1.6,0.7,1.6,2.8,0.3,1.3,0.1,2.3
Solvents,0.4,0.1,0,0.5,0.1,0.6,0,0.1,0.4,0,0.2
Other Combustion,0.8,1.1,0.5,1.6,0.9,1.9,0.4,0.3,1.5,0.1,3
Remaining Sources,34.4,8,12.2,6.5,16.2,6.6,20.2,13.8,5.8,34.4,5
